v1 r
contaminated_client_indices:[7, 8, 5, 1, 4, 19]
weights list(greater): [2, 0, 5, 17, 11, 4, 10, 13, 3, 14, 1, 16, 7, 19, 12, 9, 18, 6, 15, 8]
weights list(greater): [5, 11, 2, 10, 14, 1, 17, 4, 0, 3, 7, 16, 9, 13, 6, 12, 8, 15, 19, 18]
weights list(greater): [5, 11, 16, 2, 10, 14, 0, 1, 6, 7, 15, 3, 12, 4, 8, 9, 13, 17, 18, 19]
weights list(greater): [5, 2, 11, 16, 12, 10, 14, 1, 9, 7, 3, 15, 0, 6, 8, 4, 17, 13, 18, 19]
weights list(greater): [5, 7, 1, 11, 14, 12, 10, 2, 15, 9, 16, 0, 4, 8, 6, 13, 3, 17, 18, 19]
weights list(greater): [5, 11, 10, 2, 1, 14, 7, 15, 12, 8, 16, 4, 0, 6, 13, 17, 9, 3, 19, 18]
weights list(greater): [11, 10, 5, 1, 2, 7, 14, 16, 12, 4, 15, 9, 8, 0, 17, 6, 13, 3, 19, 18]
weights list(greater): [11, 10, 2, 1, 14, 7, 5, 15, 4, 16, 8, 12, 6, 9, 13, 0, 17, 3, 19, 18]
weights list(greater): [10, 11, 14, 2, 4, 5, 12, 16, 1, 8, 7, 15, 17, 6, 0, 13, 18, 9, 19, 3]
weights list(greater): [10, 11, 4, 2, 7, 5, 16, 14, 12, 8, 15, 1, 17, 6, 9, 13, 0, 3, 19, 18]
weights list(greater): [5, 2, 10, 11, 14, 4, 16, 7, 15, 9, 12, 6, 8, 1, 0, 17, 13, 18, 3, 19]
weights list(greater): [2, 8, 10, 14, 5, 0, 16, 1, 4, 11, 9, 15, 17, 6, 12, 7, 19, 3, 13, 18]
weights list(greater): [5, 10, 2, 17, 11, 14, 8, 4, 16, 0, 7, 15, 1, 6, 19, 3, 9, 13, 18, 12]
weights list(greater): [11, 2, 10, 8, 5, 1, 14, 16, 9, 3, 4, 12, 17, 0, 6, 7, 15, 13, 19, 18]
weights list(greater): [10, 1, 16, 2, 11, 14, 9, 3, 8, 0, 5, 4, 13, 15, 17, 7, 18, 19, 6, 12]
weights list(greater): [10, 2, 11, 9, 5, 16, 4, 3, 8, 1, 14, 15, 7, 17, 13, 0, 19, 12, 6, 18]
weights list(greater): [10, 2, 7, 1, 11, 8, 4, 9, 0, 3, 14, 12, 5, 17, 13, 16, 19, 6, 15, 18]
weights list(greater): [1, 10, 4, 2, 8, 11, 7, 3, 9, 13, 5, 14, 0, 16, 17, 19, 18, 6, 15, 12]
weights list(greater): [10, 2, 14, 11, 7, 0, 1, 3, 17, 4, 9, 18, 16, 12, 8, 6, 19, 13, 5, 15]
weights list(greater): [1, 10, 2, 11, 9, 14, 7, 5, 0, 4, 3, 16, 8, 13, 12, 18, 19, 15, 17, 6]
weights list(greater): [7, 11, 10, 5, 14, 2, 4, 16, 9, 8, 1, 17, 13, 18, 0, 12, 15, 3, 19, 6]
weights list(greater): [1, 10, 2, 5, 7, 11, 14, 9, 4, 16, 12, 17, 0, 8, 18, 19, 15, 3, 13, 6]
weights list(greater): [10, 7, 16, 2, 14, 11, 9, 0, 5, 1, 12, 8, 4, 6, 19, 13, 3, 18, 17, 15]
weights list(greater): [10, 1, 2, 5, 7, 14, 11, 16, 9, 8, 4, 0, 12, 6, 19, 17, 15, 3, 18, 13]
weights list(greater): [10, 2, 7, 1, 11, 9, 8, 16, 14, 4, 0, 19, 5, 18, 12, 13, 15, 3, 6, 17]
weights list(greater): [2, 11, 10, 14, 7, 1, 9, 0, 5, 8, 12, 4, 16, 13, 3, 15, 18, 19, 17, 6]
